FROM	TO	NAME
010		Konzessionen 
011		Patentrechte und Lizenzen 
012		Datenverarbeitungsprogramme 
013		Marken, Warenzeichen und Musterschutzrechte, sonstige Urheberrechte 
014		Pacht-und Mietrechte 
015		Bezugs- und ähnliche Rechte 
016		Geschäfts-/Firmenwert 
017		Umgründungsmehrwert 
018		Geleistete Anzahlungen auf immaterielle Vermögensgegenstände des Anlagemögens 
019		Kumulierte Abschreibungen zu immateriellen Vermögensgegenständen des Anlagevermögens 
020		Unbebaute Grundstücke, soweit nicht landwirtschaftlich genutzt 
021		Bebaute Grundstücke (Grundwert) 
022		Landwirtschaftlich genutzte Grundstücke 
023		Grundstücksgleiche Rechte 
030		Betriebs- und Geschäftsgebäude auf eigenem Grund 
031		Wohn- und Sozialgebäude auf eigenem Grund 
032		Betriebs- und Geschäftsgebäude auf fremdem Grund 
033		Wohn- und Sozialgebäude auf fremdem Grund 
034		Grundstückseinrichtungen auf eigenem Grund 
035		Grundstückseinrichtungen auf fremdem Grund 
036		Bauliche Investitionen in fremden Betriebs-und Geschäftsgebäuden 
037		Bauliche Investitionen in fremden Wohn- und Sozialgebäuden 
039		Kumulierte Abschreibungen zu Grundstücken, grundstücksgleichen Rechten und Bauten einschließlich der Bauten auf fremdem Grund 
040	049	Maschinen und maschinelle Anlagen 
050		Maschinenwerkzeuge 
051		Allgemeine Werkzeuge und Handwerkzeuge 
052		Vorrichtungen, Formen und Modelle 
053		Andere Erzeugungshilfsmittel 
054		Hebezeuge und Montageanlagen 
055		Geringwertige Vermögensgegenstände, soweit im Erzeugungsprozess verwendet 
056		Festwerte technische Anlagen und Maschinen 
059		Kumulierte Abschreibungen zu technischen Anlagen und Maschinen 
060		Betriebs-und Geschäftsausstattung, soweit nicht gesondert angeführt 
061		Andere Anlagen, soweit nicht gesondert angeführt 
062		Büromaschinen, EDV-Anlagen 
063		PKW und Kombis 
064		LKW 
065		Andere Beförderungsmittel 
066		Gebinde 
067		Geringwertige Vermögensgegenstände, soweit nicht im Erzeugungsprozess verwendet 
068		Festwerte außer technische Anlagen und Maschinen 
069		Kumulierte Abschreibungen zu anderen Anlagen, Betriebs- und Geschäftsausstattung 
070		Geleistete Anzahlungen auf Sachanlagen 
071		Anlagen in Bau 
079		Kumulierte Abschreibungen zu geleisteten Anzahlungen auf Sachanlagen und Anlagen in Bau 
080		Anteile an verbundenen Unternehmen außer an Mutterunternehmen 
081		Beteiligungen an Gemeinschaftsunternehmen 
082		Beteiligungen an assoziierten Unternehmen 
083		Anteile an Mutterunternehmen 
084		Sonstige Beteiligungen 
085		Ausleihungen an verbundene Unternehmen 
086		Ausleihungen an Unternehmen, mit denen ein Beteiligungsverhältnis besteht 
087		Ausleihungen an Gesellschafter 
088		Sonstige Ausleihungen 
089		Sonstige Anteile an Kapitalgesellschaften ohne Beteiligungscharakter 
090		Sonstige Anteile an Personengesellschaften ohne Beteiligungscharakter 
091		Sonstige Genossenschaftsanteile ohne Beteiligungscharakter 
092		Sonstige Anteile an Investmentfonds 
093		Festverzinsliche Wertpapiere des Anlagevermögens 
094	097	Sonstige Finanzanlagen, Wertrechte 
098		Geleistete Anzahlungen auf Finanzanlagen 
099		Kumulierte Abschreibungen zu Finanzanlagen 
100	109	Bezugsverrechnung für den Produktionsprozess/für Verwaltung und Vertrieb 
110	119	Rohstoffe 
120	129	Bezogene Teile 
130	134	Hilfsstoffe 
135	139	Betriebsstoffe 
140	149	Unfertige Erzeugnisse 
150	159	Fertige Erzeugnisse 
160	169	Waren 
170	179	Noch nicht abrechenbare Leistungen 
180		Geleistete Anzahlungen auf Vorräte 
190	199	Wertberichtigungen zu Vorräten 
200		Forderungen aus Lieferungen und Leistungen Inland (0% USt, umsatzsteuerfrei) 
201		Forderungen aus Lieferungen und Leistungen Inland (10% USt) 
